column,dtype,missing_count,missing_percent,unique_count
agent,str,12141,13.92,333
lead_time_per_night,float64,591,0.68,2839
country,str,447,0.51,177
adr,float64,1,0.0,8865
lead_time,int64,0,0.0,479
days_in_waiting_list,int64,0,0.0,127
previous_total_bookings,int64,0,0.0,77
previous_bookings_not_canceled,int64,0,0.0,73
arrival_date_week_number,int64,0,0.0,53
total_nights,int64,0,0.0,42
stays_in_week_nights,int64,0,0.0,33
arrival_date_day_of_month,int64,0,0.0,31
booking_changes,int64,0,0.0,19
stays_in_weekend_nights,int64,0,0.0,17
previous_cancellations,int64,0,0.0,15
adults,int64,0,0.0,14
total_guests,float64,0,0.0,14
arrival_date_month,str,0,0.0,12
arrival_month_num,int64,0,0.0,12
assigned_room_type,str,0,0.0,11
reserved_room_type,str,0,0.0,9
market_segment,str,0,0.0,8
total_of_special_requests,int64,0,0.0,6
children,float64,4,0.0,5
babies,int64,0,0.0,5
meal,str,0,0.0,5
distribution_channel,str,0,0.0,5
required_car_parking_spaces,int64,0,0.0,5
customer_type,str,0,0.0,4
arrival_season,str,0,0.0,4
arrival_date_year,int64,0,0.0,3
deposit_type,str,0,0.0,3
hotel,str,0,0.0,2
is_canceled,int64,0,0.0,2
is_repeated_guest,int64,0,0.0,2
is_family,int64,0,0.0,2
room_type_changed,int64,0,0.0,2
